ID,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
412792,0.6134758131442413,0.5463968185881568,Stauber,Republican,rank-and-file Republican,2,27,79,85
412815,0.6045139496161848,0.06881294916588365,Timmons,Republican,moderate Republican follower,0,28,0,0
412823,0.7589155812597645,0.23718150719508438,Wright,Republican,conservative Republican,2,26,23,23
412794,0.5665458328445285,0.44627117123195104,Armstrong,Republican,rank-and-file Republican,1,15,115,115
412773,0.5850687530423382,0.13694079937879675,Fulcher,Republican,rank-and-file Republican,1,22,7,7
412813,0.6763371534166484,0.39806245865487205,Reschenthaler,Republican,rank-and-file Republican,1,34,4,4
412826,0.599591944117529,0.4430320350726501,Roy,Republican,rank-and-file Republican,5,27,50,73
407672,0.2977131851318269,0.0012694416917879755,Mfume,Democrat,moderate Democratic follower,0,14,0,0
456811,0.287974415057891,0.18311644456819284,Williams [GA5],Democrat,moderate Democratic follower,2,53,46,46
456840,0.26924387640837993,0.0,Jones,Democrat,moderate Democratic follower,0,88,0,0
456854,0.3080534272188592,0.002790405991233162,Strickland,Democrat,moderate Democratic follower,0,36,0,0
456838,0.2844889819314839,0.01022044813126237,Torres [NY15],Democrat,moderate Democratic follower,2,45,3,3
456825,0.2929036359824469,0.0038158573074368865,Auchincloss,Democrat,moderate Democratic follower,0,33,0,0
456804,0.313101206632565,0.005095752967201446,Jacobs [CA53],Democrat,moderate Democratic follower,0,26,0,0
456815,0.3109074498887906,0.0029650814704359723,Kahele,Democrat,moderate Democratic follower,0,35,0,0
456819,0.29870821337278025,0.0020367958800602895,Newman,Democrat,moderate Democratic follower,0,40,0,0
456831,0.30881667359564313,0.004033062121696044,Ross,Democrat,moderate Democratic follower,0,29,0,0
456814,0.3791029658362887,0.010988528100422779,Greene,Republican,centrist Republican follower ,1,13,0,0
456844,0.4043362194624073,0.006478709195779549,Harshbarger,Republican,centrist Republican follower ,0,20,0,0
456802,0.34711769330349473,0.015173121940738884,Kim [CA39],Republican,centrist Republican follower ,0,10,0,0
456826,0.35965164001042343,0.015961840038015068,Meijer,Republican,centrist Republican follower ,0,6,0,0
456851,0.3708683346324434,0.012685593656898999,Moore [UT1],Republican,centrist Republican follower ,0,11,0,0
456812,0.3290920053729307,0.013519128028547382,Bourdeaux,Democrat,centrist Democratic follower,0,11,0,0
456799,0.42248276897166154,0.004052339711275582,Carl,Republican,centrist Republican follower ,0,28,0,0
456813,0.38230267825105285,0.010988528100422779,Clyde,Republican,centrist Republican follower ,0,13,0,0
456839,0.2855707484353825,0.13232288018037808,Bowman,Democrat,moderate Democratic follower,1,41,30,30
456829,0.2931512291692641,0.24407728007019192,Bush,Democrat,moderate Democratic follower,2,29,67,86
456828,0.40540351040030465,0.005983609050510345,Fischbach,Republican,centrist Republican follower ,0,21,0,0
456842,0.35323245611579107,0.015961840038015068,Bentz,Republican,centrist Republican follower ,0,4,0,0
456806,0.3821103717349807,0.0114453457100242,Cammack,Republican,centrist Republican follower ,0,12,0,0
456833,0.40664877431965396,0.005217810929843908,Cawthorn,Republican,centrist Republican follower ,0,27,0,0
456818,0.392512813662402,0.008895272321327734,Feenstra,Republican,centrist Republican follower ,0,16,0,0
456836,0.36152274498611064,0.017176903815871655,Garbarino,Republican,centrist Republican follower ,1,12,1,1
456849,0.3583798552944259,0.015961840038015068,Gonzales,Republican,centrist Republican follower ,1,5,0,0
456853,0.42439847815237697,0.13489213858984175,Good,Republican,centrist Republican,3,28,22,29
456834,0.4458757339105438,0.3582795340271186,Herrell,Republican,centrist Republican,3,42,67,74
456816,0.43772846280169975,0.22420571616245105,Hinson,Republican,centrist Republican,2,38,35,38
456847,0.45491513944687445,0.00223147634709518,Jackson,Republican,moderate Republican follower,0,39,0,0
456823,0.39790227828720026,0.044797564982943905,Mann,Republican,centrist Republican follower ,6,19,2,12
456827,0.4008493140059629,0.007022788781228225,McClain,Republican,centrist Republican follower ,1,20,0,0
456800,0.4469671822650907,0.002364372806416797,Moore [AL2],Republican,moderate Republican follower,0,40,0,0
456848,0.3540688303388241,0.015961840038015068,Nehls,Republican,centrist Republican follower ,0,4,0,0
456801,0.35219785976498447,0.015961840038015068,Obernolte,Republican,centrist Republican follower ,0,4,0,0
456803,0.35354020673656333,0.015961840038015068,Steel,Republican,centrist Republican follower ,0,8,0,0
456850,0.36989026185243656,0.014165464167832202,Van Duyne,Republican,centrist Republican follower ,0,10,0,0
456832,0.3162409304175526,0.009361101227307078,Manning,Democrat,moderate Democratic follower,0,16,0,0
456835,0.31845380195797107,0.010935501166740944,Leger Fernandez,Democrat,moderate Democratic follower,0,15,0,0
456824,0.38714098335908054,0.010125295862863343,LaTurner,Republican,centrist Republican follower ,0,18,0,0
456820,0.4081711917858361,0.0073045752302617305,Miller [IL15],Republican,centrist Republican follower ,0,19,0,0
456805,0.43547943232730435,0.17770269992691806,Boebert,Republican,centrist Republican,4,35,34,45
456830,0.41660702845399844,0.09748687302872962,Rosendale,Republican,centrist Republican,1,24,18,18
456845,0.36747828468521393,0.01567547548060175,Fallon,Republican,centrist Republican follower ,0,11,0,0
456852,0.3643504624301679,0.13785730667433235,Owens,Republican,centrist Republican,1,9,31,31
456846,0.4072449982818917,0.17177462745464264,Pfluger,Republican,centrist Republican,1,22,23,23
456808,0.3664003226349328,0.015961840038015068,Donalds,Republican,centrist Republican follower ,0,8,0,0
456821,0.3225244213700787,0.015961840038015068,Mrvan,Democrat,centrist Democratic follower,0,10,0,0
456809,0.36301907134958356,0.021037124196893825,Gimenez,Republican,centrist Republican follower ,1,8,1,1
456837,0.3610719033274235,0.015961840038015068,Malliotakis,Republican,centrist Republican follower ,0,8,0,0
456810,0.351328150190133,0.11141646356735976,Salazar,Republican,centrist Republican,1,4,10,10
456841,0.3692384643121525,0.012685593656898999,Bice,Republican,centrist Republican follower ,0,11,0,0
456807,0.3787446265898235,0.013519128028547382,Franklin,Republican,centrist Republican follower ,0,11,0,0
456822,0.3574279427417867,0.015961840038015068,Spartz,Republican,centrist Republican follower ,0,4,0,0
456843,0.38593475838801755,0.009281890956552857,Mace,Republican,centrist Republican follower ,0,16,0,0
456817,0.35681415446653736,0.015961840038015068,Miller-Meeks,Republican,centrist Republican follower ,0,7,0,0
456855,0.35425412215810964,0.015961840038015068,Fitzgerald,Republican,centrist Republican follower ,0,3,0,0
